school_latitude,school_longitude,school_zip,total_price_excluding_opt_donation,total_price_including_opt_donation,students_reached,total_donations,num_donors
40.688454,-73.910432,11207,229,279.27,0,251.9,1
40.765517,-73.96009,10065,2240,2731.71,0,2623,4
40.815018,-73.856094,10473,722,880.49,0,758.36,2
40.649203,-74.012325,11220,300,365.85,0,300,2
40.75132996,-73.93742234,11101,180,219.51,0,198,1
40.841691,-73.875457,10460,527.4,643.17,0,590,9
40.82695716,-73.89221712,10459,489.8,597.32,0,538,1
40.701778,-74.01184,10004,126,153.66,0,138.6,1
40.84822,-73.903632,10457,405,493.9,0,445.5,1
40.849035,-73.930881,10033,930,1134.15,0,948,6
40.822987,-73.922531,10451,50.43,61.5,0,58,1
40.829224,-73.856899,10472,144,175.61,0,166,1
40.872721,-73.905197,10463,92.25,112.5,0,107,1
40.815349,-73.955189,10027,1075,1310.98,0,1237,1
40.653109,-74.00517,11232,416.15,507.5,0,479,1
40.809677,-73.939178,10037,456,556.1,0,464,3
40.750101,-73.940801,11101,515.37,628.5,0,593,1
40.731064,-73.805801,11365,411.03,501.26,0,473,1
40.76778531,-73.98750119,10019,451,550,0,523,3
40.822987,-73.922531,10451,496.1,605,0,571,1
40.843352,-73.92044,10452,251,306.1,0,289,1
40.839225,-73.936016,10032,506.35,617.5,0,583,1
40.624836,-74.150597,10303,331.85,404.7,0,384,3
40.624836,-74.150597,10303,246,300,0,283,1
40.682529,-73.955291,11216,326,397.56,0,380,2
40.812728,-73.90594,10455,184.5,225,0,213,1
40.823269,-73.818176,10465,67.65,82.5,0,78,1
40.690002,-73.989372,11201,305,371.95,0,372,1
40.836655,-73.937113,10032,185.53,226.26,0,214,2
40.718563,-73.984172,10002,123,150,0,142,1
40.817666,-73.952931,10027,100.45,122.5,0,116,1
40.693414,-73.908592,11207,727.75,887.5,0,837,1
40.785559,-73.942629,10029,1206.68,1471.56,0,1388,1
38.903011,-76.997307,20002,150.68,183.76,20,151,1
38.897827,-76.983454,20002,186,226.83,20,126,1
40.80616,-73.94802,10027,183.89,224.26,0,212,1
40.700741,-73.782224,11433,435.32,530.88,0,501,1
40.677984,-73.889624,11207,386.84,471.76,0,446,2
40.677984,-73.889624,11207,203.05,247.62,0,204,1
40.835903,-73.928254,10452,2076.65,2532.5,0,2412,4
40.809286,-73.917742,10454,98.2,119.76,0,113,1
40.682529,-73.955291,11216,0,0,0,0,0
40.749535,-73.821411,11355,143.3,174.76,0,150,2
40.815349,-73.955189,10027,199,242.68,0,270,1
40.66655,-73.911084,11212,1028.38,1254.12,0,1194,7
34.408161,-77.916077,28457,265.07,323.26,200,266,1
40.792306,-73.952037,10029,615.72,750.88,30,714,3
40.822548,-73.85329,10473,235.75,287.5,38,272,1
40.822548,-73.85329,10473,228.99,279.26,135,264,1
35.723938,-81.778763,28655,342.86,418.12,14,395,1
40.645821,-74.001663,11232,111.73,136.26,19,129,1
40.80267,-73.965382,10025,233.44,284.68,27,269,1
40.597275,-73.948784,11229,581.94,709.68,25,670,1
40.822548,-73.85329,10473,552.58,673.88,29,636,1
35.845928,-81.480927,28638,172.2,210,32,199,1
40.628474,-73.928074,11234,246,300,265,283,1
40.645821,-74.001663,11232,113.78,138.76,18,123,2
40.642044,-74.085434,10301,240.26,293,90,277,1
36.157898,-80.202222,27105,228.99,279.26,20,264,1
35.216339,-80.686729,28215,94.81,115.62,21,110,1
40.677984,-73.889624,11207,94,114.63,25,109,1
35.216339,-80.686729,28215,248.36,302.88,22,286,1
40.806419,-73.921577,10454,967.5,1179.88,17,75,1
35.216339,-80.686729,28215,85.08,103.76,25,98,1
34.555733,-77.928218,28425,182.45,222.5,45,210,1
35.723938,-81.778763,28655,363.88,443.76,100,0,0
35.721747,-77.934142,27893,144.53,176.26,700,167,1
40.66655,-73.911084,11212,244.77,298.5,18,282,1
40.822548,-73.85329,10473,143.5,175,29,166,1
35.216339,-80.686729,28215,167.08,203.76,45,192.14,1
40.628474,-73.928074,11234,227.14,277,20,262,1
40.628474,-73.928074,11234,406,495.12,100,467,1
35.247683,-80.75141,28215,504,614.63,600,562.86,1
34.796437,-77.397062,28546,328,400,400,394,1
40.813381,-73.913857,10455,342.86,418.12,20,393,5
36.111602,-80.1918,27101,311.29,379.62,30,358,1
40.827859,-73.914261,10456,548.38,668.76,60,630.64,1
40.628474,-73.928074,11234,468.43,571.26,250,0,0
34.555733,-77.928218,28425,72.26,88.12,26,84,1
38.896261,-76.977377,20002,134.75,164.33,20,155,1
40.753002,-73.992409,10018,439.73,536.26,112,0,0
40.822548,-73.85329,10473,258.97,315.82,29,302,2
35.216339,-80.686729,28215,132.84,162,21,146,2
40.677984,-73.889624,11207,254,309.76,20,292.1,1
40.642044,-74.085434,10301,342.86,418.12,35,399,2
40.628474,-73.928074,11234,158.77,193.62,23,187,3
35.902366,-80.257465,27295,157.59,192.18,110,190,1
35.652706,-81.086876,28610,115.83,141.26,120,139,1
40.694725,-73.929314,11221,767.93,936.5,65,858,34
40.597275,-73.948784,11229,487.9,595,290,567.41,1
40.869698,-73.879114,10467,220.38,268.76,13,254,2
35.797655,-80.262316,27292,90.2,110,20,104,1
37.539288,-122.041321,94560,354.65,432.5,20,381.62,2
40.792306,-73.952037,10029,200.9,245,27,223.54,2
40.836655,-73.937113,10032,660.1,805,64,0,0
37.766598,-122.418908,94103,139.4,170,20,140,1
34.292377,-77.919838,28401,509.43,621.26,50,586,1
41.878508,-87.707234,60624,1025,1250,1125,1153,5
37.482267,-122.214295,94063,422.3,515,90,486,1
40.792306,-73.952037,10029,416.15,507.5,60,479.55,1
36.157898,-80.202222,27105,273.68,333.76,20,316,2
37.251573,-121.819872,95123,496.1,605,40,596,2
40.597275,-73.948784,11229,47.15,57.5,7,55,1
40.697908,-73.916469,11237,1055.75,1287.5,29,1216,2
40.817533,-73.897974,10459,882.53,1076.26,100,1014.91,1
40.660793,-73.988731,11215,351.58,428.76,55,405,1
37.256597,-121.836005,95123,1208.47,1473.74,20,1389.74,1
37.336335,-121.830222,95122,1631.8,1990,16,1876.57,1
37.339023,-121.792007,95148,164,200,20,189,2
40.826338,-73.94701,10031,269.58,328.76,30,310.02,1
41.922635,-87.657321,60614,424,517.07,26,490.66,3
37.390644,-121.842678,95132,248,302.44,450,297.6,2
37.326635,-121.83449,95122,349,425.61,20,405.96,2
